timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1523946833545417,-2,-2,6,-18,-23,-3,2,-3
1523946833545417,0,3,2,15,-37,-22,-6,-2
1523946833558453,7,11,10,25,43,68,28,12
1523946833558453,-6,-7,-25,-17,0,22,-2,-6
1523946833567475,-1,-1,2,9,-18,-26,-6,0
1523946833567475,0,-4,-6,-16,-3,-10,-11,-7
1523946833582522,0,-1,-1,-8,5,7,1,5
1523946833582522,-4,-4,-6,8,-34,-14,-9,-7
1523946833583518,0,3,14,-7,11,5,2,4
1523946833583518,-4,-15,-33,-3,-41,8,-4,-7
1523946833595550,-1,2,4,-25,7,-15,-6,-2
1523946833595550,2,1,-8,-34,-32,26,4,1
1523946833604574,-5,3,10,17,0,-62,-14,-5
1523946833604574,4,7,20,13,100,45,19,15
1523946833618614,-5,-21,-33,-5,1,-34,-18,-8
1523946833618614,-1,-7,-2,-11,-28,-16,-2,-4
1523946833634656,2,1,-17,-11,-20,-7,-9,-1
1523946833634656,-2,7,25,-13,-19,-15,-2,-4
1523946833642675,3,-2,-11,19,6,23,4,4
1523946833642675,-6,-9,-28,-26,-33,-14,-6,1
1523946833643678,1,4,12,8,35,-7,-4,-1
1523946833643678,-5,-9,-17,-8,-56,-46,-11,-7
1523946833664733,-1,1,11,19,81,62,3,3
1523946833664733,3,5,-5,11,-24,2,6,2
1523946833666739,-3,-10,-7,-36,-63,-9,-11,-4
1523946833666739,-3,-14,-43,-14,6,1,-4,-6
1523946833678771,-3,3,15,-2,22,-26,8,-2
1523946833678771,-3,-10,-28,-6,-26,-23,-10,-4
1523946833687794,0,-2,-5,0,-16,6,-6,0
1523946833687794,-2,7,11,5,-37,38,3,-1
1523946833701833,-1,8,20,43,32,9,12,0
1523946833701833,-1,-8,-14,-19,5,-12,-1,-3
1523946833703838,-5,-5,-8,-3,-25,3,10,-4
1523946833703838,3,-3,-7,-9,73,-16,-15,2
1523946833715870,-4,-5,-21,6,-56,-9,-4,-4
1523946833715870,-1,-6,-23,-21,-16,-7,-2,-3
1523946833724893,1,6,27,2,6,8,-4,-2
1523946833724893,-4,-2,2,-12,-17,-18,5,0
1523946833737928,-3,-3,-13,-32,-17,26,7,1
