timestamp,x,y,z,w
1523946847988816,-0.162903,0.865662,-0.450928,-0.144104
1523946848004861,-0.161743,0.865173,-0.452698,-0.142822
1523946848025912,-0.160583,0.864441,-0.454834,-0.141541
1523946848047971,-0.160522,0.864319,-0.455566,-0.140076
1523946848065020,-0.160339,0.864075,-0.45636,-0.139343
1523946848086074,-0.159729,0.862488,-0.4599,-0.138062
1523946848108132,-0.159485,0.860352,-0.464355,-0.136597
1523946848131193,-0.15918,0.858765,-0.467773,-0.135559
1523946848146233,-0.158142,0.857544,-0.470703,-0.13446
1523946848168292,-0.156738,0.855957,-0.474426,-0.132813
1523946848191354,-0.155945,0.854187,-0.478394,-0.131287
1523946848205390,-0.155518,0.852966,-0.480896,-0.130249
1523946848228452,-0.154419,0.852234,-0.482849,-0.129089
1523946848250511,-0.153381,0.851318,-0.485229,-0.127686
1523946848265553,-0.152893,0.850281,-0.487427,-0.126648
1523946848288613,-0.152954,0.849854,-0.488464,-0.12561
1523946848304655,-0.15332,0.850464,-0.487366,-0.125
1523946848327716,-0.152832,0.850952,-0.486938,-0.124329
1523946848348773,-0.152832,0.850403,-0.487976,-0.123779
1523946848364815,-0.153625,0.84967,-0.489075,-0.123596
1523946848386874,-0.154358,0.84967,-0.488708,-0.123901
1523946848407931,-0.154602,0.850098,-0.487732,-0.12439
1523946848424975,-0.154236,0.850464,-0.487244,-0.124451
1523946848447033,-0.153442,0.850525,-0.487549,-0.124023
1523946848468090,-0.152527,0.850647,-0.487854,-0.123169
1523946848491153,-0.151611,0.851074,-0.487366,-0.122864
1523946848507193,-0.151306,0.851929,-0.486023,-0.122742
1523946848528250,-0.151855,0.85321,-0.483643,-0.122742
1523946848551311,-0.1521,0.854431,-0.481506,-0.122253
1523946848567353,-0.152283,0.855225,-0.480286,-0.121399
1523946848588412,-0.153076,0.855591,-0.479431,-0.120911
1523946848610467,-0.154175,0.856018,-0.478333,-0.121216
1523946848627512,-0.155579,0.856384,-0.476807,-0.122437
1523946848648576,-0.156189,0.856689,-0.475708,-0.124084
1523946848670635,-0.156189,0.856934,-0.474854,-0.125671
1523946848687675,-0.156494,0.856812,-0.474426,-0.127441
1523946848708731,-0.157043,0.855591,-0.476135,-0.128662
1523946848730790,-0.157593,0.852844,-0.480896,-0.128479
1523946848746831,-0.158508,0.848816,-0.488159,-0.126953
1523946848767888,-0.15918,0.843689,-0.496948,-0.126343
1523946848790949,-0.158264,0.83844,-0.505859,-0.126587
1523946848806989,-0.156433,0.832642,-0.515869,-0.127136
1523946848828046,-0.154175,0.826782,-0.525635,-0.127747
1523946848851108,-0.151672,0.82074,-0.535645,-0.128357
1523946848867151,-0.148621,0.815125,-0.544617,-0.129761
1523946848888208,-0.145935,0.809082,-0.554199,-0.13031
1523946848911267,-0.143799,0.803101,-0.563232,-0.130981
1523946848927310,-0.141174,0.797668,-0.571533,-0.130737
1523946848948374,-0.138611,0.793091,-0.578674,-0.130188
1523946848970432,-0.13562,0.789795,-0.583984,-0.129639
1523946848987471,-0.132935,0.787659,-0.587769,-0.12854
1523946849008527,-0.130798,0.786316,-0.590576,-0.125732
1523946849030584,-0.128235,0.784485,-0.594482,-0.121277
1523946849047630,-0.125183,0.77948,-0.602722,-0.11615
1523946849068686,-0.123657,0.771973,-0.613464,-0.111145
1523946849090746,-0.123718,0.76416,-0.624146,-0.105774
1523946849106787,-0.12439,0.756775,-0.634033,-0.098877
1523946849127842,-0.124878,0.752747,-0.639709,-0.0924072
1523946849150904,-0.125977,0.74884,-0.644958,-0.0860596
1523946849166949,-0.128235,0.743591,-0.651489,-0.0787354
1523946849188005,-0.131653,0.737122,-0.658813,-0.0722046
1523946849211065,-0.135437,0.731445,-0.664856,-0.0681152
1523946849227107,-0.13855,0.726746,-0.669739,-0.0639038
1523946849248180,-0.142029,0.721924,-0.674744,-0.0579834
1523946849271226,-0.145203,0.715576,-0.681213,-0.0531616
1523946849287266,-0.147827,0.709778,-0.687012,-0.0494385
1523946849309326,-0.150513,0.705383,-0.691101,-0.0461426
1523946849331388,-0.153076,0.702637,-0.693542,-0.0427856
1523946849347430,-0.155334,0.700439,-0.695496,-0.0392456
1523946849369491,-0.15741,0.696777,-0.698853,-0.0360107
1523946849390543,-0.159363,0.692383,-0.702942,-0.0333862
1523946849407588,-0.160828,0.689392,-0.705627,-0.0314331
1523946849429646,-0.16217,0.688171,-0.706543,-0.0299683
1523946849450704,-0.163879,0.687134,-0.707275,-0.0287476
1523946849467747,-0.165466,0.685303,-0.708679,-0.027832
1523946849489805,-0.166382,0.683289,-0.710449,-0.0268555
1523946849510862,-0.166931,0.681824,-0.711731,-0.0265503
1523946849526903,-0.16748,0.681091,-0.712341,-0.0266724
1523946849549965,-0.168762,0.680298,-0.712708,-0.0267334
1523946849571023,-0.170593,0.679199,-0.713379,-0.0272827
1523946849587063,-0.171753,0.677551,-0.7146,-0.0282593
1523946849610124,-0.172546,0.676331,-0.715515,-0.0292969
1523946849631189,-0.173096,0.676819,-0.714905,-0.0297852
1523946849647224,-0.172974,0.677124,-0.714661,-0.02948
1523946849670288,-0.172729,0.676025,-0.715759,-0.0294189
1523946849691342,-0.172119,0.675049,-0.716797,-0.0294189
1523946849707386,-0.172058,0.674255,-0.717529,-0.0302124
1523946849729443,-0.171753,0.674622,-0.717285,-0.0308228
1523946849750499,-0.171753,0.674194,-0.717651,-0.031189
1523946849767544,-0.171631,0.673035,-0.71875,-0.0315552
1523946849789602,-0.171448,0.672485,-0.719299,-0.0317383
1523946849810658,-0.171997,0.672485,-0.719177,-0.031189
